book,chapter,chapter_rom,verse,text
Ps,17,XVII,46,filii alieni mentiti sunt mihi filii alieni inueterauerunt et claudicauerunt a semitis suis
Ps,17,XVII,47,uiuit Dominus et benedictus Deus meus et exaltetur Deus salutis meae
Ps,17,XVII,48,Deus qui das uindictam mihi et subdidisti populos sub me liberator meus Dominus de gentibus iracundis
Ps,17,XVII,49,et ab insurgentibus in me exaltabis me a uiro iniquo eripies me
Ps,17,XVII,50,propterea confitebor tibi in populis Domine et nomini tuo psalmum dicam
Ps,17,XVII,51,magnificans salutare regis ipsius et faciens misericordiam christo suo Dauid et semini eius usque in saeculum.
Ps,18,XVIII,1,IN FINEM PSALMVS DAVID
Ps,18,XVIII,2,Caeli enarrant gloriam Dei et opera manuum eius adnuntiant firmamentum
Ps,18,XVIII,3,dies diei eructuat uerbum et nox nocti indicat scientiam
Ps,18,XVIII,4,non sunt loquellae neque sermones quorum non audientur uoces eorum
Ps,18,XVIII,5,in omnem terram exiuit sonus eorum et in fines orbis terrae uerba eorum
Ps,18,XVIII,6,in sole posuit tabernaculum suum et ipse tamquam sponsus procedens de thalamo suo exultauit ut gigans ad currendam uiam
Ps,18,XVIII,7,a summo caelo egressio eius et occursus eius usque ad summum eius nec est qui se abscondat a calore eius
Ps,18,XVIII,8,lex Domini inreprehensibilis conuertens animas testimonium Domini fidele sapientiam praestans paruulis
Ps,18,XVIII,9,iustitiae Domini rectae laetificantes corda praeceptum Domini lucidum inluminans oculos
Ps,18,XVIII,10,timor Domini sanctus permanet in saeculum saeculi iudicia Dei uera iustificata in semetipsa
Ps,18,XVIII,11,desiderabilia super aurum et lapidem pretiosum multum et dulciora super mel et fauum
Ps,18,XVIII,12,nam et seruus tuus custodiet ea in custodiendo illa retributio multa
Ps,18,XVIII,13,delicta quis intellegit ab occultis meis munda me Domine
Ps,18,XVIII,14,et ab alienis parce seruo tuo si mei non fuerint dominati tunc inmaculatus ero et emundabor a delicto maximo
Ps,18,XVIII,15,et erunt ut conplaceant eloquia oris mei et meditatio cordis mel in conspectu tuo semper Domine adiutor meus et redemptor meus.
Ps,19,XIX,1,IN FINEM PSALMVS DAVID
Ps,19,XIX,2,Exaudiat te Dominus in die tribulationis protegat te nomen Dei Iacob
Ps,19,XIX,3,mittat tibi auxilium de sancto et de Sion tueatur te
Ps,19,XIX,4,memor sit Dominus omnis sacrifici tui. et holocaustum tuum pingue fiat
Ps,19,XIX,5,tribuat tibi Dominus secundum cor tuum et omne consilium tuum confirmet
Ps,19,XIX,6,laetabimur in salutari tuo et in nomine Domini Dei nostri magnificabimur
Ps,19,XIX,7,impleat Dominus omnes petitiones tuas nunc cognoui quoniam saluum faciet Dominus christum suum et exaudiet illum de caelo sancto suo in potentatibus salus dexterae eius
Ps,19,XIX,8,hii in curribus et hii in equis nos autem in nomine Domini Dei nostri magnificabimur
Ps,19,XIX,9,ipsi obligati sunt et ceciderunt nos uero resurreximus et erecti sumus
Ps,19,XIX,10,Domine saluum fac regem et exaudi nos in die in qua inuocauerimus te.
Ps,20,XX,1,IN FINEM PSALMVS DAVID
Ps,20,XX,2,Domine in uirtute tua laetabitur rex et super salutare tuum exultabit uehementer
Ps,20,XX,3,desiderium animae eius tribuisti ei et uoluntate labiorum eius non fraudasti eum
Ps,20,XX,4,quoniam praeuenisti eum in benedictione dulcedinis posuisti in capite eius coronam de lapide pretioso
Ps,20,XX,5,uitam petiit et tribuisti ei longitudinem dierum in saeculum saeculi
Ps,20,XX,6,magna est gloria eius in salutari tuo gloriam et magnum decorem inpones super eum
Ps,20,XX,7,quoniam dabis eum in benedictionem in saeculum saeculi laetificabis eum in gaudio cum uultu tuo
Ps,20,XX,8,quoniam rex sperauit in Domino et in misericordia Altisimi non commouebitur
Ps,20,XX,9,inueniatur manus tua omnibus inimicis tuis dextera tua inueniat omnes qui te oderunt
Ps,20,XX,10,pones eos ut clibanum ignis in tempore uultus tui Dominus in ira sua conturbabit eos et deuorabit eos ignis
Ps,20,XX,11,fructum eorum de terra perdes et semen eorum a filiis hominum
Ps,20,XX,12,quoniam declinauerunt in te mala cogitauerunt consilium quod non potuerunt stabilire
Ps,20,XX,13,quoniam pones eos deorsum in reliquiis tuis praeparabis uultum illorum
Ps,20,XX,14,exaltare Domine in uirtute tua cantabimus et psallemus uirtutes tuas.
Ps,21,XXI,1,IN FINEM PRO ADSVMPTIONE MATVTINA PSALMVS DAVID
Ps,21,XXI,2,Deus Deus meus respice in me quare me dereliquisti longe a salute mea uerba delictorum meorum
Ps,21,XXI,3,Deus meus clamabo per diem nec exaudies et nocte et non ad insipientiam mihi
Ps,21,XXI,4,tu autem in sancto habitas laus Israhel
Ps,21,XXI,5,in te sperauerunt patres nostri sperauerunt et liberasti eos
Ps,21,XXI,6,ad te clamauerunt et salui facti sunt in te sperauerunt et non sunt confusi
